model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss
linear_activation,0.1,0,0,1.0,0.6028741513057392,0.09118209208548068
linear_activation,0.1,0,0,1.0,0.6664844128899691,0.10267207428688806
linear_activation,0.1,0,0,1.0,0.7368062997280775,0.10653686730998256
linear_activation,0.1,0,0,1.0,0.8145479666433055,0.08747722266738615
linear_activation,0.1,0,0,1.0,0.900492287060531,0.10097819091627995
linear_activation,0.1,0,0,1.0,0.9955047366910887,0.09069138891249895
linear_activation,0.1,0,0,1.0,1.1005421090383833,0.09630604154616594
linear_activation,0.1,0,0,1.0,1.2166621504910964,0.08675656005615992
linear_activation,0.1,0,0,1.0,1.3450342120312204,0.07001245721429589
linear_activation,0.1,0,0,1.0,1.4869510248216484,0.1089902268772324
linear_activation,0.1,0,0,1.0,1.643841718255735,0.09823200778290628
linear_activation,0.1,0,0,1.0,1.8172862115630761,0.11012120736328265
linear_activation,0.1,0,0,1.0,2.0090311238977194,0.08884391722455622
linear_activation,0.1,0,0,1.0,2.221007363126434,0.08958086614683272
linear_activation,0.1,0,0,1.0,2.4553495704394916,0.09326953854287665
linear_activation,0.1,0,0,1.0,2.7144176165949077,0.10103281473616761
linear_activation,0.1,0,0,1.0,3.000820366267417,0.0821480746244391
linear_activation,0.1,0,0,1.0,3.3174419498137175,0.08743114326645933
linear_activation,0.1,0,0,1.0,3.667470807015676,0.09138504398862521
linear_activation,0.1,0,0,1.0,4.0544317952775275,0.0938393844217062
linear_activation,0.1,0,0,1.0,4.482221685612751,0.08714999144772688
linear_activation,0.1,0,0,1.0,4.955148403871969,0.09823768368487554
linear_activation,0.1,0,0,1.0,5.477974412378556,0.0845606623888016
linear_activation,0.1,0,0,1.0,6.055964668833263,0.08626279198129973
linear_activation,0.1,0,0,1.0,6.69493964544323,0.08736365072305005
linear_activation,0.1,0,0,1.0,7.4013339421880975,0.08529546320314209
linear_activation,0.1,0,0,1.0,8.182261084470007,0.08795122903337081
linear_activation,0.1,0,0,1.0,9.045585157672232,0.08255499462783336
linear_activation,0.1,0,0,1.0,10.000000000000002,0.08438216658184926
linear_activation,0.1,1,2,1.0,0.2,0.037316971919809774
linear_activation,0.1,1,2,1.0,0.22110233502181484,0.037019087351237726
linear_activation,0.1,1,2,1.0,0.24443121276049423,0.036974974496910964
linear_activation,0.1,1,2,1.0,0.27022155946779647,0.03686219537196059
linear_activation,0.1,1,2,1.0,0.29873308885782995,0.03656074967732031
linear_activation,0.1,1,2,1.0,0.33025291747372754,0.037091052863125994
linear_activation,0.1,1,2,1.0,0.36509845600603935,0.03642785048608978
linear_activation,0.1,1,2,1.0,0.4036206056789731,0.03730887915814917
linear_activation,0.1,1,2,1.0,0.44620729189270064,0.037459082648778945
linear_activation,0.1,1,2,1.0,0.4932873707061831,0.03722864549482862
linear_activation,0.1,1,2,1.0,0.5453349474995434,0.036349987889329596
linear_activation,0.1,1,2,1.0,0.6028741513057392,0.037248431079710514
linear_activation,0.1,1,2,1.0,0.6664844128899691,0.03643214129097759
linear_activation,0.1,1,2,1.0,0.7368062997280775,0.03591030539820591
linear_activation,0.1,1,2,1.0,0.8145479666433055,0.03618309251219033
linear_activation,0.1,1,2,1.0,0.900492287060531,0.03568937466355661
linear_activation,0.1,1,2,1.0,0.9955047366910887,0.03624696549524863
linear_activation,0.1,1,2,1.0,1.1005421090383833,0.03641919331500927
linear_activation,0.1,1,2,1.0,1.2166621504910964,0.03560309328635533
linear_activation,0.1,1,2,1.0,1.3450342120312204,0.036027091526115926
linear_activation,0.1,1,2,1.0,1.4869510248216484,0.035901364328960565
linear_activation,0.1,1,2,1.0,1.643841718255735,0.03617424424303074
linear_activation,0.1,1,2,1.0,1.8172862115630761,0.034612560854603854
linear_activation,0.1,1,2,1.0,2.0090311238977194,0.03456561867023509
linear_activation,0.1,1,2,1.0,2.221007363126434,0.035583442619070406
linear_activation,0.1,1,2,1.0,2.4553495704394916,0.03538876728340983
linear_activation,0.1,1,2,1.0,2.7144176165949077,0.03459994549738865
linear_activation,0.1,1,2,1.0,3.000820366267417,0.03570018801403542
linear_activation,0.1,1,2,1.0,3.3174419498137175,0.03473343833846351
linear_activation,0.1,1,2,1.0,3.667470807015676,0.03409236914043625
linear_activation,0.1,1,2,1.0,4.0544317952775275,0.03503602876824638
linear_activation,0.1,1,2,1.0,4.482221685612751,0.03497298451326787
linear_activation,0.1,1,2,1.0,4.955148403871969,0.03429253709688783
linear_activation,0.1,1,2,1.0,5.477974412378556,0.03482955250144004
linear_activation,0.1,1,2,1.0,6.055964668833263,0.03459370959115525
linear_activation,0.1,1,2,1.0,6.69493964544323,0.03440832507672409
linear_activation,0.1,1,2,1.0,7.4013339421880975,0.03437524354582032
linear_activation,0.1,1,2,1.0,8.182261084470007,0.03409783162052433
linear_activation,0.1,1,2,1.0,9.045585157672232,0.03414314417044321
linear_activation,0.1,1,2,1.0,10.000000000000002,0.03352426252514123
linear_activation,0.1,1,4,1.0,0.2,0.03721012416481971
linear_activation,0.1,1,4,1.0,0.22110233502181484,0.03740015485199789
linear_activation,0.1,1,4,1.0,0.24443121276049423,0.036528705028196176
linear_activation,0.1,1,4,1.0,0.27022155946779647,0.03745439747379472
linear_activation,0.1,1,4,1.0,0.29873308885782995,0.03552068338915705
linear_activation,0.1,1,4,1.0,0.33025291747372754,0.03741020011280973
linear_activation,0.1,1,4,1.0,0.36509845600603935,0.03735597762465475
linear_activation,0.1,1,4,1.0,0.4036206056789731,0.03718388430339594
linear_activation,0.1,1,4,1.0,0.44620729189270064,0.036865295279150195
linear_activation,0.1,1,4,1.0,0.4932873707061831,0.036848644150421016
linear_activation,0.1,1,4,1.0,0.5453349474995434,0.03661226006721456
linear_activation,0.1,1,4,1.0,0.6028741513057392,0.03655994521950681
linear_activation,0.1,1,4,1.0,0.6664844128899691,0.03611570853926241
linear_activation,0.1,1,4,1.0,0.7368062997280775,0.03616932510895033
linear_activation,0.1,1,4,1.0,0.8145479666433055,0.03667116080907483
linear_activation,0.1,1,4,1.0,0.900492287060531,0.03661344462260603
linear_activation,0.1,1,4,1.0,0.9955047366910887,0.035886372742553546
