model_family,tau,nonlinear_layers,hidden_dim,alpha,lambda,validation_loss,family,initial_fitted_variance,architecture_lambda_zero_fitted_variance,max_lambda_zero_fitted_variance,achieved_r,valid_complexity_reference
dnn,0.05,2,4,0.0,2.714417616594908,0.0900637479373022,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,2,0.5,1.817286211563076,0.0900637479621375,dnn,7.389644604370972e-16,1.6458682239317568e-07,0.7851186394691467,9.412137520219157e-16,True
dnn,0.05,2,4,0.5,10.000000000000002,0.0900637479621375,dnn,1.4210854715202004e-14,2.447398950167212e-10,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,4,0.0,4.955148403871969,0.0900637479621375,dnn,1.4210854715202004e-14,1.9324999933623133e-11,0.7851186394691467,1.8100264088508442e-14,True
dnn,0.05,2,8,1.0,2.714417616594908,0.0900637479621375,dnn,5.684341886080802e-14,0.00038994240458123386,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,2,0.5,9.045585157672232,0.0900637479621375,dnn,5.684341886080802e-14,1.6458682239317568e-07,0.7851186394691467,7.240105635403377e-14,True
dnn,0.05,2,2,0.5,1.2166621504910964,0.0900637480863138,dnn,2.355591307949545e-13,1.6458682239317568e-07,0.7851186394691467,3.000299813977495e-13,True
dnn,0.05,2,2,0.5,1.643841718255735,0.0900637485581839,dnn,1.574562759364996e-14,1.6458682239317568e-07,0.7851186394691467,2.005509333506115e-14,True
dnn,0.05,2,8,0.0,1.643841718255735,0.0900637497751121,dnn,6.3664631089221414e-15,1.0007839001957564e-08,0.7851186394691467,8.10891856194726e-15,True
dnn,0.05,2,2,0.0,0.2444312127604942,0.0900637568283284,dnn,1.0801329830556483e-09,1.5683493614915278e-08,0.7851186394691467,1.375757661015377e-09,True
dnn,0.05,2,2,0.0,0.2702215594677964,0.0900652084497814,dnn,8.180848776184746e-10,1.5683493614915278e-08,0.7851186394691467,1.0419888619274379e-09,True
